Text;Emotion;Translated_Text
i feel like a proud new mom with all this picture taking of heidi;joy;i merasa seperti bangga ibu baru dengan semua gambar ini mengambil dari Heidi
i havent felt like posting in such a long time but i feel more sociable now;joy;i havent merasa seperti posting dalam waktu yang lama tapi saya merasa lebih bersosialisasi sekarang
i feel incredibly slacking mrs greedy guts is still in desperate search for an unspoilt base on her career ladder;anger;i merasa sangat malas mrs serakah nyali masih dalam pencarian putus asa untuk dasar unspoilt pada tangga karirnya
i feel bad for a lot of these people because i know from watching documentaries that people who do these drugs are trying to fill a void something that hurt them in the past that they are trying to fill with this drug that makes them feel temporary happiness;sadness;i merasa buruk bagi banyak orang-orang ini karena saya tahu dari menonton dokumenter bahwa orang-orang yang melakukan obat-obatan ini mencoba untuk mengisi kekosongan sesuatu yang menyakiti mereka di masa lalu bahwa mereka mencoba untuk mengisi dengan obat ini yang membuat mereka merasa bahagia sementara
i can feel it think i determined to a href http usarious;joy;i can feel it think i determined to a href http usarious
i feel remorseful about leaving food behind and make an effort to eat at least half of it but after stuffing myself at fruits parlor and eating this hamburger steak and all;sadness;i merasa menyesal tentang meninggalkan makanan belakang dan membuat upaya untuk makan setidaknya setengah dari itu tapi setelah mengisi diri di kedai buah-buahan dan makan ini hamburger steak dan semua
i feel surprised when i looked new;surprise;i merasa terkejut ketika saya tampak baru
i wanted other women to feel envious of my figure and say oooh youd never guess youd just had a baby;anger;aku ingin wanita lain merasa iri pada sosokku dan mengatakan oooh kamu tidak pernah menebak kamu baru saja punya bayi
i woke up feeling ok but i had a weird feeling about the run today;joy;i terbangun merasa ok tapi aku punya perasaan aneh tentang menjalankan hari ini
im feeling anxious all im really trying to do is project the exact opposite;fear;aku merasa cemas semua aku benar-benar mencoba untuk melakukan adalah proyek sebaliknya
i feel the cold mostly in my arms and torso;anger;i merasa dingin sebagian besar dalam lengan dan tubuh
i feel drained just looking at the date of my real last entry;sadness;i merasa terkuras hanya melihat tanggal entri terakhir nyata saya
i have a feeling i shall go mad;anger;aku punya perasaan aku akan menjadi gila
i have found a no of people raising this issue but then i have not yet come across any officials addressing the same i am just feeling helpless;fear;saya telah menemukan tidak ada orang yang mengangkat masalah ini tapi kemudian saya belum menemukan setiap pejabat menangani hal yang sama saya hanya merasa tak berdaya
i feel rather listless and dull today slightly head achy and good chances of blahness throughout the day;sadness;aku merasa agak lesu dan kusam hari ini sedikit sakit kepala dan kesempatan baik blaness sepanjang hari
i feel so often when i roll through my beloved new york that so little is done for so many if i start to write about race colour religion and sexual preference and gender identity my readers will say hey mia what s up are you confused;love;i merasa begitu sering ketika saya roll melalui New York tercinta bahwa begitu sedikit dilakukan untuk begitu banyak jika saya mulai menulis tentang ras warna agama dan preferensi seksual dan identitas gender pembaca saya akan mengatakan hei mia apa yang kamu bingung
i luckily i don t think anyone i know was there at the time but can t help feeling a bit shaken;fear;untungnya saya tidak berpikir siapa pun yang saya tahu ada di sana pada saat itu tetapi tidak bisa membantu merasa sedikit terguncang
i am feeling emotional about something or other positive or otherwise;sadness;saya merasa emosional tentang sesuatu atau positif lainnya atau sebaliknya
i think beaches are my favorite places although i get the feeling i would be quite fond of the desert also;love;i think pantai adalah tempat favorit saya meskipun saya mendapatkan perasaan saya akan cukup menyukai padang pasir juga
i mean i have a lot of love to give and i feel most myself when i am giving and loving;love;i berarti saya memiliki banyak cinta untuk memberikan dan saya merasa paling diriku sendiri ketika saya memberikan dan mencintai
i feel petrified about his future;fear;Aku merasa ketakutan tentang masa depannya.
im in the car with my roommate and her family i feel like im being all rude because i have to call her and my dad so that my dad can give her directions and she keeps asking what she needs to bring;anger;aku di mobil dengan teman sekamar dan keluarganya aku merasa seperti menjadi semua kasar karena aku harus menelepon dia dan ayah saya sehingga ayah saya dapat memberikan arah dan dia terus meminta apa yang dia butuhkan untuk membawa
i will feel fantastic refreshed and rejuvenated as if i had just woken up from a restful hour nap;joy;i akan merasa fantastis segar dan diremajakan kembali seolah-olah saya baru saja terbangun dari tidur siang istirahat
i fared pretty well and was feeling quite pleased with myself that the journey went well;joy;i kentut cukup baik dan merasa cukup senang dengan diri sendiri bahwa perjalanan berjalan dengan baik
i went crazy non stop dancing at rouge with her only because the live band was very good i was feeling very troubled and wanted to dance my problems away;sadness;i pergi gila non stop menari di rouge dengan dia hanya karena band live sangat baik saya merasa sangat bermasalah dan ingin menari masalah saya pergi
i didnt like my former fob and felt joy when i received a telegram offering me a new one that i though better and for which i had been waiting;joy;i didnt seperti saya fob mantan dan merasakan sukacita ketika saya menerima telegram menawarkan saya yang baru yang saya meskipun lebih baik dan untuk yang saya telah menunggu
i remember a couple of years ago i was feeling romantic and dreamy and asked him wonder if we ll celebrate our th anniversary;love;saya ingat beberapa tahun yang lalu saya merasa romantis dan bermimpi dan bertanya-tanya apakah kita akan merayakan ulang tahun th kami
i could feel tears welling in my eyes and felt disappointed at my lack of fitness and ability to keep up and my annoyance at letting it get to me;sadness;i bisa merasakan air mata mengalir di mata saya dan merasa kecewa karena kurangnya kebugaran dan kemampuan untuk menjaga dan mengganggu saya di membiarkan itu sampai ke saya
i had just bought some stuff in guardian for contests and was feeling a bit too over the top if i grabbed indiscriminately in caring as well;love;saya baru saja membeli beberapa barang di wali untuk kontes dan merasa sedikit terlalu atas jika saya meraih tanpa pandang bulu dalam peduli juga
i dont want to put to much pressure on myself but i feel like i could make the most amazing year ever;surprise;saya tidak ingin menempatkan banyak tekanan pada diriku sendiri tapi saya merasa seperti saya bisa membuat tahun yang paling menakjubkan yang pernah
i always flashback to her talking about feeling burdened appearing on a radio show alone on lee jaeryong jungeuns good morning;sadness;i selalu kilas balik padanya berbicara tentang merasa terbebani muncul di acara radio sendirian di lee jaeryong jungeuns selamat pagi
i feel annoyed by that girl;anger;i merasa kesal oleh gadis itu
i feel about the scratches the way i feel about my wrinkles i am fond of them and regard them as evidence of a life well lived;love;i merasa tentang goresan cara saya merasa tentang keriput saya saya menyukai mereka dan menganggap mereka sebagai bukti hidup yang baik hidup
i mean how can you not feel festive when youre wearing a great big snow man on your chest;joy;Maksudku bagaimana kau bisa tidak merasa gembira ketika kau mengenakan pria salju besar di dadamu
i feel completely isolated in the world thinking that i m the only one like me;sadness;i merasa benar-benar terisolasi di dunia berpikir bahwa i m satu-satunya seperti saya
i was feeling relatively indecisive and not very hungry until we walked past a barbeque place;fear;i merasa relatif ragu-ragu dan tidak sangat lapar sampai kami berjalan melewati tempat barbeque
i have to care about and care for people with disabilities who are targeted by sensationalist media reports as well as at the same time feel the sorrow i do for the parents family members and community in newtown connecticut that is stunned by the events of today;surprise;saya harus peduli dan peduli terhadap orang-orang cacat yang ditargetkan oleh laporan-laporan media sensasional dan juga pada saat yang sama merasakan kesedihan yang saya lakukan untuk anggota keluarga orang tua dan komunitas di newtown yang dikejutkan oleh peristiwa hari ini
i had a hard time feeling joyful this morning because this morning it was just about the gifts;joy;aku mengalami kesulitan merasa gembira pagi ini karena pagi ini itu hanya tentang hadiah
i feel is a dull worry;sadness;i merasa adalah kekhawatiran membosankan
im still feeling that christmas loving with my polyvore boards and its only the start of advent;love;Aku masih merasa Natal penuh cinta dengan papan polivora saya dan yang hanya awal petualangan
i could quote you a recent poll showing of young american muslim men feel suicide bombings are acceptable in defense of islam so apparently things like dont kill are not universally shared moral values;joy;saya bisa mengutip Anda jajak pendapat baru-baru ini menunjukkan pemuda Muslim Amerika merasa bom bunuh diri diterima dalam membela islam sehingga tampaknya hal-hal seperti dont membunuh tidak universal berbagi nilai-nilai moral
i feel humiliated by the person who phoned;sadness;i merasa dipermalukan oleh orang yang menelepon
i put weight on it with my leg bent like when i get out of the car i feel a dull pain in my knee;sadness;i menempatkan berat di atasnya dengan kaki saya membungkuk seperti ketika saya keluar dari mobil saya merasa sakit tumpul di lutut saya
im feeling pleased and glad that other people like thaliad and want to celebrate it;joy;Saya merasa senang dan senang bahwa orang lain seperti thaliad dan ingin merayakannya
i would feel more environmentally friendly if i sold it;joy;i akan merasa lebih ramah lingkungan jika saya menjualnya
im feeling very hesitant about wanting to buy another house;fear;aku merasa sangat ragu-ragu tentang keinginan untuk membeli rumah lain
i feel the eyes on me the hateful eyes on the other side of the glass that belong to the family members of my beautiful victims;anger;i merasa mata pada saya mata kebencian di sisi lain kaca yang milik anggota keluarga dari korban cantik saya
i just feel like lex has convinced you that youre something that youre not martha said her eyes getting misty;joy;aku hanya merasa seperti lex telah meyakinkan Anda bahwa Anda adalah sesuatu bahwa Anda tidak Martha mengatakan matanya mulai berkabut
i witness what i feel helpless to change i take up my arms my heart and my pen and i write;sadness;saya menyaksikan apa yang saya merasa tak berdaya untuk mengubah saya mengambil lengan saya hati saya dan pena saya dan saya menulis
i feel when the super exciting sensory bombardment is over;joy;i merasa ketika bombardir sensorik super menarik berakhir
i have really notcied is my mental clarity like im finally beginning to wake up after years of a foggy brain and feeling lethargic;sadness;i telah benar-benar nocied adalah kejelasan mental saya seperti Im akhirnya mulai bangun setelah bertahun-tahun otak berkabut dan merasa lesu
im feeling wildly supportive as i swallow my tension that every single other five year old i know of not only knows his letters but knows them backward;love;aku merasa sangat mendukung karena aku menelan keteganganku bahwa setiap anak lima tahun lainnya aku tahu tidak hanya tahu surat-suratnya tapi tahu mereka mundur
i set out to make a copycat version of it saturday and i feel i was pretty successful;joy;i ditetapkan untuk membuat versi peniru itu Sabtu dan saya merasa saya cukup sukses
i sit here tonight i feel anxious;fear;saya duduk di sini malam ini saya merasa cemas
i feel im miserable when i try to do other things;sadness;aku merasa sengsara ketika saya mencoba untuk melakukan hal-hal lain
i have to move stop staring at the other ladies this doesn t feel good does it feel bad;joy;aku harus pindah berhenti menatap wanita lain ini tidak merasa baik apakah itu merasa buruk
i feel idiotic sifting through personals sites only nerve;sadness;i merasa idiot memilah-milah situs pribadi hanya saraf
im starting to feel and think as if i dont want to continue to pray for him anymore because its making me feel hopeless;sadness;aku mulai merasa dan berpikir seolah-olah aku tidak ingin terus berdoa untuknya lagi karena itu membuatku merasa putus asa
i have also been feeling completely overwhelmed and so incredibly unappreciated;surprise;Aku juga merasa benar-benar kewalahan dan sangat tidak dihargai
i will be honest it did feel a little strange being in the company of such greatness;surprise;aku akan jujur itu tidak merasa sedikit aneh berada di perusahaan kebesaran tersebut
i suppose it s partly my fault for forgetting my earplugs but it s still really frustrating to feel like you re being permanently damaged for no apparent reason;sadness;aku kira itu sebagian salahku karena melupakan penyumbat telingaku tapi itu masih benar-benar membuat frustasi untuk merasa seperti kau kembali rusak secara permanen tanpa alasan yang jelas
i feel defeated extremely agitated as well as frustrated beyond words;sadness;i merasa dikalahkan sangat gelisah serta frustrasi di luar kata-kata
i feel like i ve already read every clever profile seen every picture and more importantly gone out on a first date with every guy on okc eharmony match etc;joy;i merasa seperti saya sudah membaca setiap profil pintar melihat setiap gambar dan yang lebih penting pergi keluar pada kencan pertama dengan setiap orang di okc eharmony cocok dll
i normally would call meaningless and stupid but i guess im feeling a little bit adventurous;joy;i biasanya akan memanggil berarti dan bodoh tapi saya kira saya merasa sedikit petualang
i feel spiteful toward him;anger;saya merasa dengki terhadapnya
i can make someone feel unwelcome rrreeaallyy fast without saying a word;sadness;"aku bisa membuat seseorang merasa tidak diinginkan ""cepat sekali tanpa mengucapkan sepatah kata pun"
i was feeling discouraged and disgruntled and i was a href http tracifishbowl;sadness;Saya merasa kecil hati dan tidak puas dan saya adalah seorang href http tracifishbowl
i feel it is rude of me to ask;anger;aku merasa tidak sopan jika aku bertanya
i just do it to keep up with ian but really i feel shitty about it and wish i could just date ian;sadness;aku hanya melakukannya untuk menjaga dengan ian tapi benar-benar saya merasa buruk tentang hal itu dan berharap saya bisa berkencan dengan ian
i continue to feel nervous inside and long to talk sensibly even just one time around someone its so wrong to have these feelings for on so many levels i have no clue;fear;saya terus merasa gugup di dalam dan lama untuk berbicara bijak bahkan hanya satu kali di sekitar seseorang yang begitu salah memiliki perasaan ini untuk pada begitu banyak tingkat saya tidak tahu
im going to be honest with you i feel distraught;fear;aku akan jujur denganmu aku merasa bingung
i feel this energy of the divine flame;joy;aku merasakan energi api ilahi
i feel thrilled this will all be over in a matter of days;joy;i merasa senang ini semua akan berakhir dalam hitungan hari
i feel disturbed because of the world i saw through the camera s eyes;sadness;i merasa terganggu karena dunia saya melihat melalui kamera mata
i like to watch people do horrible things so i can be outraged at them and feel superior;joy;aku suka melihat orang melakukan hal-hal yang mengerikan sehingga aku bisa marah pada mereka dan merasa superior
i feel a little awkward about this but im going to share a poem with you;sadness;aku merasa sedikit canggung tentang ini tapi aku akan berbagi puisi denganmu
i feel hated by my parents;anger;i felt hate by my parents
im feeling groggy and having a bad skin day;sadness;aku merasa pusing dan memiliki hari kulit yang buruk
i feel your presence beloved;love;Saya merasa kehadiran Anda tercinta
i never feel bad spending money on other people just when i spend it on myself;sadness;i tidak pernah merasa buruk menghabiskan uang pada orang lain hanya ketika saya menghabiskan pada diri sendiri
i would spend hours prepping for the meeting with my supervisor and feeling convinced that i ve nailed it;joy;i akan menghabiskan waktu berjam-jam mempersiapkan untuk pertemuan dengan supervisor saya dan merasa yakin bahwa saya telah dipaku itu
im sick of being dependent even partially so on someone that makes me feel so unwelcome;sadness;aku muak menjadi tergantung bahkan sebagian sehingga pada seseorang yang membuat saya merasa begitu tidak diinginkan
i still feel jealous of my friends when their moms talk politely with them;anger;saya masih merasa cemburu teman-teman saya ketika ibu mereka berbicara sopan dengan mereka
i shook it off as we walked into the expansive beijing capital international airport feeling utterly un amused at the prospect of an international transfer in china;joy;i mengguncang off saat kami berjalan ke beijing expansive ibukota internasional bandara merasa benar-benar tidak terhibur pada prospek transfer internasional di Cina
i was terrified that the revelation of my feelings would drive him away though he reassured me it wouldn t;joy;saya takut bahwa wahyu perasaan saya akan mendorongnya pergi meskipun ia meyakinkan saya itu tidak akan
i don t know i just had this gut feeling and it just really bothered me he said;anger;saya tidak tahu saya hanya punya firasat ini dan itu hanya benar-benar mengganggu saya katanya
i feel glad for you;joy;saya merasa senang untuk Anda
im in a place right now where i feel safe and peaceful;joy;lm di tempat sekarang di mana saya merasa aman dan damai
i feel is most dangerous is people dismissing these disconnects and not considering them trials equal to the physical hardships of the revered pioneers;anger;i feel is most dangerous is people dispositioning these discoins and not mempertimbangkan mereka percobaan sama dengan kesulitan fisik perintis dihormati
i agree it looks gorgeous and feels amazing but i have only worn it out on the town one time on new years eve;joy;aku setuju itu terlihat cantik dan terasa luar biasa tapi aku hanya memakainya di kota satu kali pada malam tahun baru
i used to share my feeling and thought all to my lovely roomates shermin and joey;love;i digunakan untuk berbagi perasaan saya dan berpikir semua untuk teman sekamar indah saya shermin dan joey
i surmise that after i have made myself sick one too many times on take out and sitcom re runs that i will come around again into feeling dissatisfied with a stationary life without much forward motion;anger;i menduga bahwa setelah saya telah membuat diriku sakit satu terlalu banyak kali pada mengambil keluar dan sitcom menjalankan kembali bahwa saya akan datang sekitar lagi merasa tidak puas dengan kehidupan diam-diam tanpa banyak gerakan maju
i feel that the only acceptable solution is to replace this brush with its rightful mac predecessor;joy;i merasa bahwa satu-satunya solusi yang dapat diterima adalah untuk mengganti kuas ini dengan Mac sah pendahulu
i just feel like its rude;anger;aku hanya merasa seperti kasar
i feel like my life has become rather dull it lacks excitement but i feel next year will be different;sadness;i merasa seperti hidup saya telah menjadi agak membosankan itu kurang kegembiraan tapi saya merasa tahun depan akan berbeda
i bought into what the world had told me would fill this emptiness but all it did was leave me lonely feeling confused at the emotional baggage and physical consequences i never expected;fear;Aku percaya apa yang dikatakan dunia padaku akan mengisi kekosongan ini tapi semua itu membuatku kesepian merasa bingung pada beban emosional dan konsekuensi fisik yang tak pernah kuharapkan
i think im allowing myself to feel this way because im not heartbroken;sadness;aku pikir aku membiarkan diriku merasakan seperti ini karena aku tidak patah hati
i know whos interested in renaissance and baroque art i can relate with jamie because she like feels tender towards everything and thinks that inanimate objects have feelings;love;saya tahu siapa yang tertarik pada renaisans dan barok seni saya dapat berhubungan dengan jamie karena dia suka merasa lembut terhadap segala sesuatu dan berpikir bahwa benda mati memiliki perasaan
i wanted to write and feel purged of those repressed feelings;sadness;saya ingin menulis dan merasa dibersihkan dari perasaan-perasaan tertekan
i got on and was nervous feeling very timid and shy but after a while we were talking like weve known each other our whole lives;fear;i naik dan merasa gugup merasa sangat pemalu dan pemalu tapi setelah beberapa saat kami berbicara seperti kita sudah mengenal satu sama lain seluruh hidup kita
i feel that if he hadnt appeared out of nowhere and distracted me i would have noticed the light change and none of this would have happened;anger;i merasa bahwa jika ia tidak muncul entah dari mana dan terganggu saya akan melihat perubahan cahaya dan tidak satupun ini akan terjadi
ive realized over the last few months that i generally tend to feel tremendously dissatisfied after having sex with him;anger;Saya telah menyadari selama beberapa bulan terakhir bahwa saya umumnya cenderung merasa sangat tidak puas setelah berhubungan seks dengannya
i feel rather pissed off;anger;aku merasa agak kesal
i am tied down to my thoughts in class as in life i cant perform i feel ashamed and afraid to be in myself;sadness;aku terikat dengan pikiranku di kelas seperti dalam hidup aku tidak bisa tampil aku merasa malu dan takut untuk berada di diriku sendiri
i was feeling ok it would be fun to drive over to dunstable and stand in a field for an hour or so watching people try and drive preposterous motors up grass slopes thats trialling;joy;i merasa ok itu akan menyenangkan untuk berkendara ke dunstable dan berdiri di lapangan selama satu jam atau jadi menonton orang mencoba dan mendorong motor yang tidak masuk akal sampai lereng rumput yang menyengat
i mean its beginning marks the end to one of the best months of the year which im left feeling exhausted from;sadness;i berarti awal menandai akhir untuk salah satu bulan terbaik tahun yang im kiri merasa lelah dari
i feel so carefree i never think of the crap going on in my life;joy;i merasa begitu riang saya tidak pernah memikirkan omong kosong terjadi dalam hidup saya
i feel that everyone is entitiled to their opinion and that opinion should be respected;joy;i merasa bahwa setiap orang berhak pendapat mereka dan pendapat yang harus dihormati
i got contact lenses the other day and am trying to get used to them i feel like my face looks really weird without glasses and its so strange when i see myself from a distance;surprise;i punya lensa kontak hari lain dan saya mencoba untuk membiasakan diri dengan mereka saya merasa seperti wajah saya terlihat benar-benar aneh tanpa kacamata dan yang begitu aneh ketika saya melihat diriku dari kejauhan
i feel like i am doomed to spend the rest of my life in customer service i;sadness;i merasa seperti saya ditakdirkan untuk menghabiskan sisa hidup saya dalam layanan pelanggan i
i still have that feeling to you until now ya the feeling to loving you;love;aku masih memiliki perasaan itu padamu sampai sekarang ya perasaan untuk mencintaimu
i find that i cant do as much as i used to do without feeling exhausted;sadness;i menemukan bahwa saya tidak bisa melakukan sebanyak yang saya biasa lakukan tanpa merasa lelah
i feel very optimistic about everything at this moment;joy;i merasa sangat optimis tentang segala sesuatu pada saat ini
i said im only pages and this book feels so tortured and you can really feel the pain of the characters;fear;aku bilang hanya halaman Im dan buku ini terasa begitu tersiksa dan kau benar-benar bisa merasakan sakit karakter
ive been feeling like i cant put a lot into this because hes not caring about it anyway;love;Aku sudah merasa seperti saya tidak bisa menempatkan banyak ke dalam hal ini karena dia tidak peduli tentang hal itu pula
i was well and feeling a bit of cabin fever i unwisely convinced spooky to take me to a matin e screening of scott stewarts legion;joy;aku baik-baik saja dan merasa sedikit demam kabin aku tidak bijaksana yakin menyeramkan untuk membawa saya ke tikar e skrining legiun Skotlandia Stewartarts
i like to pray a decade whenever im feeling stressed or scared;anger;saya suka berdoa satu dekade setiap kali aku merasa stres atau takut
i am just waking up with not nearly enough sleep and feeling dazed;surprise;saya hanya bangun dengan kurang tidur dan merasa bingung
im referring to a comment in the pattern right now not feeling that divine really since i probably was born with a set of dpns in my hands;joy;im mengacu kepada komentar dalam pola sekarang tidak merasa bahwa ilahi benar-benar karena saya mungkin lahir dengan satu set dpns di tangan saya
i kept thinking about how awesome i would feel afterwards remembering how amazing i felt after my emotional spin class the previous night;surprise;i terus berpikir tentang bagaimana mengagumkan saya akan merasa setelah mengingat betapa menakjubkannya saya merasa setelah kelas spin emosional saya malam sebelumnya
i feel vicious and sleepy;anger;aku merasa kejam dan mengantuk
i feel like an ass saying that since my sweet sister has gone through quite possibly the worst year of her life at the same time;joy;saya merasa seperti keledai mengatakan bahwa karena adik manis saya telah melalui cukup mungkin tahun terburuk dalam hidupnya pada waktu yang sama
i feel damaged from just witnessing it;sadness;i merasa rusak dari hanya menyaksikan itu
i say that i feel like im hated;anger;Aku bilang aku merasa dibenci.
i am a happily married man shows me his wedding ring and i swear i am not hitting on you but i just feel this sweet energy from you like i know you but i dont know you right;joy;aku seorang pria menikah yang bahagia menunjukkan padaku cincin pernikahannya dan aku bersumpah aku tidak merayumu tapi aku hanya merasakan energi manis darimu seperti aku mengenalmu tapi aku tidak tahu kau benar
i took a day off which is so unusual for me i almost feel naughty;love;i mengambil hari libur yang begitu tidak biasa bagi saya i hampir merasa nakal
i haven t done it in a couple years and now i feel like i m at a place where i hated it when i was doing it but i wish i could do it again;anger;i haven t melakukannya dalam beberapa tahun dan sekarang saya merasa seperti i m di tempat di mana saya membencinya ketika saya melakukannya tapi saya berharap saya bisa melakukannya lagi
i hope that you are all feeling festive and keeping warm;joy;Saya berharap bahwa Anda semua merasa meriah dan menjaga hangat
i never want to be rude even when i feel someone has been rude to me and even then i don t want to i feel like i need to like if i don t crush the offender thoroughly i will be left in tears in front of everyone because i am so sensitive;anger;saya tidak pernah ingin bersikap kasar bahkan ketika saya merasa seseorang telah kasar kepada saya dan bahkan kemudian saya tidak ingin saya merasa seperti saya perlu seperti jika saya tidak menghancurkan pelaku secara menyeluruh saya akan ditinggalkan di air mata di depan semua orang karena saya begitu sensitif
i feel my repressed emotions surfacing im glad for the solace i can seek in my writing;sadness;aku merasa emosiku tertekan aku senang untuk pelipur lara aku bisa mencari dalam tulisanku
i am feeling like i have more energy and loving every minute of it;love;aku merasa seperti aku memiliki lebih banyak energi dan mencintai setiap menitnya
i feel stupid about my diamond richie mix up;sadness;aku merasa bodoh tentang berlian saya richie campuran
i love taylor swift because she has so many inspiring song and her song always represent what i feel and she is so damn gorgeous and she is very nice to her fans;joy;aku suka Taylor cepat karena dia punya banyak lagu inspiratif dan lagunya selalu mewakili apa yang aku rasakan dan dia sangat cantik dan dia sangat baik pada penggemarnya
i was pretty tired feeling a little homesick and not at all in the mood to mingle;sadness;aku cukup lelah merasa rindu rumah dan tidak sama sekali dalam mood untuk berbaur
im great at complaining because modern society is geared toward making people feel inadequate;sadness;aku hebat dalam mengeluh karena masyarakat modern bersiap-siap untuk membuat orang merasa tidak memadai
i am still feeling pretty lousy from this allergy induced stupor so last night i just was not really feeling wildstar and interacting with other human beings;sadness;saya masih merasa cukup buruk dari alergi ini diinduksi stupor jadi tadi malam saya hanya tidak benar-benar merasa wildstar dan berinteraksi dengan manusia lain
i feel even more bothered because here i am being bothered by this when the boy probably isn t even thinking about this;anger;i merasa bahkan lebih terganggu karena di sini saya sedang terganggu oleh ini ketika anak itu mungkin tidak bahkan berpikir tentang hal ini
i hate being selfish but i gotta admit i feel so depressed about it;sadness;aku benci egois tapi aku harus mengakui aku merasa sangat tertekan tentang hal itu
i can truly empathize with your feelings of failure and discontent i would challenge you to re focus that energy in order to gear up for the next cycle;sadness;aku bisa benar-benar berempati dengan perasaan gagal dan ketidakpuasan aku akan menantangmu untuk fokuskan kembali energi itu untuk bersiap-siap untuk siklus berikutnya
i don t feel comfortable doing it is what i m trying to say;joy;saya tidak merasa nyaman melakukannya adalah apa yang saya coba katakan
im which turned out to be easy yummy and made me feel very clever as i was able to make sandwiches and soup out of the leftovers like my mum;joy;im yang ternyata mudah lezat dan membuat saya merasa sangat pintar karena saya mampu membuat sandwich dan sup keluar dari sisa-sisa seperti ibuku
i had awesome workouts and feeling amazing;joy;i telah latihan mengagumkan dan merasa menakjubkan
i wanted to feel like i could depend on you and put in ur care and dare i say tender hands some of the things i hold dear u like a winter never seen in these lands became so cold;love;i ingin merasa seperti saya bisa bergantung pada Anda dan dimasukkan ke dalam perawatan ur dan berani saya mengatakan tangan lembut beberapa hal yang saya pegang u sayang seperti musim dingin pernah terlihat di tanah ini menjadi begitu dingin
i didn t even think i was the type of person that could feel homesick;sadness;aku bahkan tidak berpikir aku adalah tipe orang yang bisa merasakan rindu rumah
i grabbed him by the collar and pulled him against me in a passionate tonguey kiss feeling his long member slide between my waiting ass cheeks as it pulsed on the frantic bud of my clit;fear;i meraih dia oleh kerah dan menariknya terhadap saya dalam ciuman lidah bergairah perasaan nya panjang anggota slide antara pipi pantat menunggu saya karena berdenyut pada tunas panik clift saya
i knew i have this feeling but i ignored it;sadness;aku tahu aku punya perasaan ini tapi aku mengabaikannya
i feel out of place posting here since i feel so hesitant to join aa full force but i could use some insight from the people on the inside;fear;saya merasa keluar dari tempat posting di sini karena saya merasa begitu ragu-ragu untuk bergabung dengan aa kekuatan penuh tapi saya bisa menggunakan beberapa wawasan dari orang-orang di dalam
i feel isolated as a stay at home mum shonas story notes d athe only negative for me is that i feel isolated as a stay at home mum;sadness;saya merasa terisolasi sebagai tinggal di rumah ibu cerita shonas catatan d athe hanya negatif bagi saya adalah bahwa saya merasa terisolasi sebagai tinggal di ibu rumah
i diabetes and clinical depression and put right the record on my abstinence from alcohol for over eight years i feel more calm and listened to by the specialists;joy;i diabetes dan depresi klinis dan menempatkan catatan yang tepat pada saya pantang dari alkohol selama lebih dari delapan tahun saya merasa lebih tenang dan mendengarkan oleh spesialis
i really feel cute when i wear them;joy;i benar-benar merasa lucu ketika saya memakainya
i feel i am being neglectful to a lot of you by not responding to your comments;sadness;i merasa saya sedang lalai untuk banyak dari Anda dengan tidak menanggapi komentar Anda
i am feeling pretty sad because it looks like i wont be able to plant my tomato garden this year;sadness;aku merasa sangat sedih karena sepertinya aku tidak akan bisa menanam tanaman tomatku tahun ini
im sitting on the couch thinking about how miserable i feel from indulging in too much delicious food;joy;aku duduk di sofa berpikir tentang betapa sengsaranya aku merasa dari memanjakan terlalu banyak makanan lezat
i feel so idiotic for letting you and myself call us best friends;sadness;Aku merasa sangat bodoh membiarkanmu dan aku menyebut kami teman baik.
i feel much alarmed at the prospect of seeing general jackson president;fear;Saya merasa sangat khawatir pada prospek melihat presiden jackson umum
i either feel like crap about myself all day and try to make up for it the rest of the day and am exhausted;sadness;aku juga merasa seperti omong kosong tentang diriku sepanjang hari dan mencoba untuk membuat untuk itu sisa hari dan aku kelelahan
i am feeling very thankful and relieved;joy;Aku merasa sangat bersyukur dan lega
i am feeling quite anxious about it all;fear;aku merasa cukup cemas tentang itu semua
i feel that he s really shy with his feelings because as he talked about how he felt what happened during the trip he was really nervous and i appreciate the effort to say all of that by the way;fear;saya merasa bahwa dia benar-benar malu dengan perasaannya karena saat ia berbicara tentang bagaimana ia merasa apa yang terjadi selama perjalanan dia benar-benar gugup dan saya menghargai usaha untuk mengatakan semua itu by the way
i feel slightly weepy about this milestone and a lot happy;sadness;saya merasa sedikit cengeng tentang tonggak ini dan banyak bahagia
i seem to remember feeling very contented;joy;i tampaknya ingat merasa sangat puas
ive basically been cold calling companies with very little success which is why ive been feeling depressed from getting discouraged;sadness;ive pada dasarnya telah dingin panggilan perusahaan dengan sangat sedikit keberhasilan itulah sebabnya saya telah merasa tertekan dari mendapatkan patah semangat
i am so fucking sick its not funny my head feels like its going to explode my sinuses are aching my stomach is feeling sloshy im not sure if thats good;sadness;aku sangat sakit yang tidak lucu kepalaku terasa seperti akan meledak sinus saya sakit perut merasa sloshy im tidak yakin apakah itu baik
ive been resting and feeling generally unpleasant and queasy but in that frustrating background way where you dont feel right but cant place an exact cause;sadness;Aku sudah beristirahat dan merasa umumnya tidak menyenangkan dan mual tetapi dalam cara latar belakang frustasi di mana Anda tidak merasa benar tapi tidak bisa menempatkan penyebab yang tepat
i am feeling jealous i remind myself of this story and it keeps me on the path to better living;anger;saya merasa cemburu saya mengingatkan diri saya dari cerita ini dan itu membuat saya di jalan untuk hidup yang lebih baik
